transcriptid	foldchange.1	foldchange.2	DEstatus.1	DEstatus.2
SPAC27E2.10c.1	1	0.19166527285862	FALSE	TRUE
SPBC8D2.18c.1	1	1.23403397434075	FALSE	TRUE
SPNCRNA.963.1	1	0.865629948925136	FALSE	TRUE
SPAC17G8.10c.1	1	1.89867251866049	FALSE	TRUE
SPAC8E11.12.1	1	0.950128966706117	FALSE	TRUE
SPNCRNA.363.1	1	1	FALSE	FALSE
SPAC694.04c.1	1	0.0968021251259318	FALSE	TRUE
SPBC902.02c.1	1	0.108465190100701	FALSE	TRUE
ENSRNA049631591-T1	1	1	FALSE	FALSE
SPAC11E3.06.1	1	0.809089024461375	FALSE	TRUE
SPCC16C4.05.1	1	1.21892783351212	FALSE	TRUE
ENSRNA049631250-T1	1	1	FALSE	FALSE
SPBP8B7.32.1	1	2.02967760031596	FALSE	TRUE
SPRRNA.06.1	1	1	FALSE	FALSE
SPAC3A11.07.1	1	0.0721614071158023	FALSE	TRUE
SPNCRNA.1534.1	1	0.188485395357747	FALSE	TRUE
SPBC119.02.1	1	0.79431937989885	FALSE	TRUE
SPAC24B11.06c.1	1	1.58771121317782	FALSE	TRUE
SPAC24C9.03.1	1	0.144704406133596	FALSE	TRUE
SPNCRNA.1162.1	1	0.129295051165152	FALSE	TRUE
SPCC576.17c.1	1	0.169824906799903	FALSE	TRUE
SPBC428.12c.1	1	0.386539390380696	FALSE	TRUE
SPBC83.07.1	1	0.681243186308119	FALSE	TRUE
SPNCRNA.208.1	1	1	FALSE	FALSE
SPAPB1A10.09.1	1	0.925904289271394	FALSE	TRUE
SPNCRNA.1537.1	1	1.99461413309037	FALSE	TRUE
SPBC1718.03.1	1	1.93101068234651	FALSE	TRUE
SPAPB8E5.06c.1	1	0.153067271469091	FALSE	TRUE
SPAC4F8.02c.1	1	0.193992031073464	FALSE	TRUE
SPBP8B7.17c.1	1	0.0769486116931042	FALSE	TRUE
SPBP23A10.02.1	1	0.107496483794179	FALSE	TRUE
SPNCRNA.955.1	1	1.30601818544011	FALSE	TRUE
SPBC947.14c.1	1	0.110993123036534	FALSE	TRUE
SPCC285.17.1	1	0.180877500308851	FALSE	TRUE
SPBC887.11.1	1	1.13776816196449	FALSE	TRUE
SPCC1259.14c.1	1	1.90970326747221	FALSE	TRUE
SPNCRNA.1298.1	1	0.213918125756606	FALSE	TRUE
SPBC17D1.05.1	1	0.0573548248726252	FALSE	TRUE
SPBC543.09.1	1	0.102225213493536	FALSE	TRUE
SPMITTRNAARG.01.1	1	1	FALSE	FALSE
SPAP14E8.05c.1	1	1.22346365524226	FALSE	TRUE
SPCC306.06c.1	1	0.19572196358681	FALSE	TRUE
SPAC1952.17c.1	1	1.01882949726812	FALSE	TRUE
SPBC1289.02c.1	1	0.0528252965333589	FALSE	TRUE
SPAC12B10.04.1	1	0.0721080725322444	FALSE	TRUE
SPNCRNA.54.1	1	1.37575863599883	FALSE	TRUE
SPNCRNA.1271.1	1	1.32446989243983	FALSE	TRUE
SPAPB1E7.12.1	1	0.102488021850918	FALSE	TRUE
SPBC337.03.1	1	0.0670334577673442	FALSE	TRUE
SPNCRNA.1168.1	1	1.23613375928312	FALSE	TRUE
SPNCRNA.1151.1	1	0.613678438398153	FALSE	TRUE
SPBTRNAPRO.07.1	1	1	FALSE	FALSE
SPBP4H10.17c.1	1	0.718640596548351	FALSE	TRUE
SPBC16A3.18.1	1	1.5315588654473	FALSE	TRUE
SPCC24B10.14c.1	1	1.18467315708218	FALSE	TRUE
SPBC1709.09.1	1	0.703149070520762	FALSE	TRUE
SPAC1B3.07c.1	1	0.894058259282555	FALSE	TRUE
SPAC1039.03.1	1	0.617426166808698	FALSE	TRUE
SPNCRNA.348.1	1	1.6251481190647	FALSE	TRUE
ENSRNA049632274-T1	1	1	FALSE	FALSE
SPAC105.02c.1	1	0.196561761928795	FALSE	TRUE
SPNCRNA.437.1	1	0.166355298724676	FALSE	TRUE
SPAC9.09.1	1	2.33837884753543	FALSE	TRUE
SPNCRNA.1220.1	1	0.0985671388629916	FALSE	TRUE
SPBC4F6.07c.1	1	0.0692602509894536	FALSE	TRUE
SPBC17D11.08.1	1	0.786713220568164	FALSE	TRUE
SPBC2D10.03c.1	1	0.0851638267324816	FALSE	TRUE
SPCC126.12.1	1	1.23216461726934	FALSE	TRUE
SPBC11G11.07.1	1	1.37270521432054	FALSE	TRUE
SPCC126.06.1	1	1.97704877250007	FALSE	TRUE
SPCC970.04c.1	1	0.1063934431124	FALSE	TRUE
SPCC330.19c.1	1	0.205744997460797	FALSE	TRUE
SPAC167.08.1	1	1.48899822337041	FALSE	TRUE
SPBC25H2.13c.1	1	0.186385061414231	FALSE	TRUE
SPBC713.11c.1	1	0.588733233903606	FALSE	TRUE
SPCC1235.13.1	1	0.0774558669954894	FALSE	TRUE
SPNCRNA.462.1	1	0.0889758693987657	FALSE	TRUE
SPAPB24D3.01.1	1	0.176492942030777	FALSE	TRUE
SPBC9B6.04c.1	1	0.104602132420261	FALSE	TRUE
SPNCRNA.188.1	1	1.86200922328776	FALSE	TRUE
ENSRNA049628005-T1	1	1	FALSE	FALSE
SPCC306.10.1	1	0.151149626283326	FALSE	TRUE
SPAC25B8.16.1	1	0.623122567810737	FALSE	TRUE
SPCC794.02.1	1	1.99157322578506	FALSE	TRUE
SPAC1002.07c.1	1	0.225942891715951	FALSE	TRUE
SPAC56E4.05.1	1	0.137407624241249	FALSE	TRUE
SPAC3G9.15c.1	1	0.0598494897974343	FALSE	TRUE
SPNCRNA.1070.1	1	0.725374082188396	FALSE	TRUE
SPBC19G7.10c.1	1	0.226648381376755	FALSE	TRUE
SPNCRNA.1071.1	1	1.96485167084035	FALSE	TRUE
SPBC1348.12.1	1	1.15697282903542	FALSE	TRUE
SPAC6C3.05.1	1	2.08495317940642	FALSE	TRUE
SPAC23H4.16c.1	1	0.2304062266078	FALSE	TRUE
SPBC336.06c.1	1	0.128733021542343	FALSE	TRUE
SPAC18B11.04.1	1	2.02140947018882	FALSE	TRUE
SPNCRNA.1637.1	1	0.777440479532233	FALSE	TRUE
SPBC29A3.11c.1	1	1.96946993817657	FALSE	TRUE
SPNCRNA.1123.1	1	0.694608619223179	FALSE	TRUE
SPNCRNA.1453.1	1	0.806050783873391	FALSE	TRUE
SPCC70.05c.1	1	0.129627045328094	FALSE	TRUE
ERCC_00002	1	0.386539390380696	FALSE	TRUE
ERCC_00003	1	0.386539390380696	FALSE	TRUE
ERCC_00004	1	0.386539390380696	FALSE	TRUE
ERCC_00009	1	0.386539390380696	FALSE	TRUE
ERCC_00012	1	0.386539390380696	FALSE	TRUE
ERCC_00013	1	0.386539390380696	FALSE	TRUE
ERCC_00014	1	0.386539390380696	FALSE	TRUE
ERCC_00016	1	0.386539390380696	FALSE	TRUE
ERCC_00017	1	0.386539390380696	FALSE	TRUE
ERCC_00019	1	0.386539390380696	FALSE	TRUE
ERCC_00022	1	0.386539390380696	FALSE	TRUE
ERCC_00024	1	0.386539390380696	FALSE	TRUE
ERCC_00025	1	0.386539390380696	FALSE	TRUE
ERCC_00028	1	0.386539390380696	FALSE	TRUE
ERCC_00031	1	0.386539390380696	FALSE	TRUE
ERCC_00033	1	0.386539390380696	FALSE	TRUE
ERCC_00034	1	0.386539390380696	FALSE	TRUE
ERCC_00035	1	0.386539390380696	FALSE	TRUE
ERCC_00039	1	0.386539390380696	FALSE	TRUE
ERCC_00040	1	0.386539390380696	FALSE	TRUE
ERCC_00041	1	0.386539390380696	FALSE	TRUE
ERCC_00042	1	0.386539390380696	FALSE	TRUE
ERCC_00043	1	0.386539390380696	FALSE	TRUE
ERCC_00044	1	0.386539390380696	FALSE	TRUE
ERCC_00046	1	0.386539390380696	FALSE	TRUE
ERCC_00048	1	0.386539390380696	FALSE	TRUE
ERCC_00051	1	0.386539390380696	FALSE	TRUE
ERCC_00053	1	0.386539390380696	FALSE	TRUE
ERCC_00054	1	0.386539390380696	FALSE	TRUE
ERCC_00057	1	0.386539390380696	FALSE	TRUE
ERCC_00058	1	0.386539390380696	FALSE	TRUE
ERCC_00059	1	0.386539390380696	FALSE	TRUE
ERCC_00060	1	0.386539390380696	FALSE	TRUE
ERCC_00061	1	0.386539390380696	FALSE	TRUE
ERCC_00062	1	0.386539390380696	FALSE	TRUE
ERCC_00067	1	0.386539390380696	FALSE	TRUE
ERCC_00069	1	0.386539390380696	FALSE	TRUE
ERCC_00071	1	0.386539390380696	FALSE	TRUE
ERCC_00073	1	0.386539390380696	FALSE	TRUE
ERCC_00074	1	0.386539390380696	FALSE	TRUE
ERCC_00075	1	0.386539390380696	FALSE	TRUE
ERCC_00076	1	0.386539390380696	FALSE	TRUE
ERCC_00077	1	0.386539390380696	FALSE	TRUE
ERCC_00078	1	0.386539390380696	FALSE	TRUE
ERCC_00079	1	0.386539390380696	FALSE	TRUE
ERCC_00081	1	0.386539390380696	FALSE	TRUE
ERCC_00083	1	0.386539390380696	FALSE	TRUE
ERCC_00084	1	0.386539390380696	FALSE	TRUE
ERCC_00085	1	0.386539390380696	FALSE	TRUE
ERCC_00086	1	0.386539390380696	FALSE	TRUE
ERCC_00092	1	0.386539390380696	FALSE	TRUE
ERCC_00095	1	0.386539390380696	FALSE	TRUE
ERCC_00096	1	0.386539390380696	FALSE	TRUE
ERCC_00097	1	0.386539390380696	FALSE	TRUE
ERCC_00098	1	0.386539390380696	FALSE	TRUE
ERCC_00099	1	0.386539390380696	FALSE	TRUE
ERCC_00104	1	0.386539390380696	FALSE	TRUE
ERCC_00108	1	0.386539390380696	FALSE	TRUE
ERCC_00109	1	0.386539390380696	FALSE	TRUE
ERCC_00111	1	0.386539390380696	FALSE	TRUE
ERCC_00112	1	0.386539390380696	FALSE	TRUE
